diagram_id,model,cuts_count,cuts_nested,lines_count,lines_branching,spots_count,spots_labels,accuracy
hou02614c00458_D._Logic__hou02614c00458__seq13_0,Claude Sonnet 4.5,True,True,True,False,False,False,0.5
hou02614c00458_D._Logic__hou02614c00458__seq13_1,Claude Sonnet 4.5,True,True,False,False,False,True,0.5
hou02614c00458_D._Logic__hou02614c00458__seq15_0,Claude Sonnet 4.5,True,True,False,True,False,True,0.6666666666666666
hou02614c00458_D._Logic__hou02614c00458__seq15_1,Claude Sonnet 4.5,True,True,True,False,True,False,0.6666666666666666
hou02614c00458_D._Logic__hou02614c00458__seq15_12,Claude Sonnet 4.5,True,True,True,True,True,False,0.8333333333333334
hou02614c00458_D._Logic__hou02614c00458__seq15_14,Claude Sonnet 4.5,False,True,False,False,False,False,0.16666666666666666
hou02614c00458_D._Logic__hou02614c00458__seq15_3,Claude Sonnet 4.5,True,True,False,False,False,False,0.3333333333333333
hou02614c00458_D._Logic__hou02614c00458__seq15_8,Claude Sonnet 4.5,True,True,False,True,False,False,0.5
hou02614c00458_D._Logic__hou02614c00458__seq617_0,Claude Sonnet 4.5,True,True,True,False,False,False,0.5
hou02614c00458_D._Logic__hou02614c00458__seq617_1,Claude Sonnet 4.5,True,True,False,True,True,True,0.8333333333333334
hou02614c00458_D._Logic__hou02614c00458__seq617_2,Claude Sonnet 4.5,True,True,False,True,True,False,0.6666666666666666
hou02614c00458_D._Logic__hou02614c00458__seq617_4,Claude Sonnet 4.5,True,True,False,True,True,True,0.8333333333333334
hou02614c00458_D._Logic__hou02614c00458__seq621_0,Claude Sonnet 4.5,True,True,True,True,False,False,0.6666666666666666
hou02614c00458_D._Logic__hou02614c00458__seq621_1,Claude Sonnet 4.5,False,True,False,False,False,False,0.16666666666666666
hou02614c00458_D._Logic__hou02614c00458__seq621_2,Claude Sonnet 4.5,False,False,False,False,False,False,0.0
hou02614c00458_D._Logic__hou02614c00458__seq621_3,Claude Sonnet 4.5,True,True,True,False,False,True,0.6666666666666666
hou02614c00458_D._Logic__hou02614c00458__seq621_4,Claude Sonnet 4.5,True,True,False,False,False,True,0.5
hou02614c00458_D._Logic__hou02614c00458__seq621_5,Claude Sonnet 4.5,True,True,False,True,False,False,0.5
hou02614c00458_D._Logic__hou02614c00458__seq625_0,Claude Sonnet 4.5,False,False,True,True,True,True,0.6666666666666666
hou02614c00458_D._Logic__hou02614c00458__seq625_1,Claude Sonnet 4.5,True,True,False,True,False,True,0.6666666666666666
hou02614c00458_D._Logic__hou02614c00458__seq625_2,Claude Sonnet 4.5,True,True,False,True,False,True,0.6666666666666666
