Path,ID,Filename,Label,Category Level 1,Category Level 2,Predicted_Label
../../data/raw/Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00086/seq1.jpg,hou02614c00086,seq1.jpg,(seq. 1),I. Manuscripts,A. Mathematics,text
../../data/raw/Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00086/seq2.jpg,hou02614c00086,seq2.jpg,(seq. 2),I. Manuscripts,A. Mathematics,diagram_mixed
../../data/raw/Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00086/seq3.jpg,hou02614c00086,seq3.jpg,(seq. 3),I. Manuscripts,A. Mathematics,text
../../data/raw/Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00086/seq4.jpg,hou02614c00086,seq4.jpg,(seq. 4),I. Manuscripts,A. Mathematics,text
../../data/raw/Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00153/seq1.jpg,hou02614c00153,seq1.jpg,(seq. 1),I. Manuscripts,A. Mathematics,cover
../../data/raw/Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00153/seq2.jpg,hou02614c00153,seq2.jpg,(seq. 2),I. Manuscripts,A. Mathematics,diagram_mixed
../../data/raw/Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00153/seq3.jpg,hou02614c00153,seq3.jpg,(seq. 3),I. Manuscripts,A. Mathematics,text
../../data/raw/Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00153/seq4.jpg,hou02614c00153,seq4.jpg,(seq. 4),I. Manuscripts,A. Mathematics,text
../../data/raw/Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00153/seq5.jpg,hou02614c00153,seq5.jpg,(seq. 5),I. Manuscripts,A. Mathematics,text
../../data/raw/Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00153/seq6.jpg,hou02614c00153,seq6.jpg,(seq. 6),I. Manuscripts,A. Mathematics,diagram_mixed
../../data/raw/Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00153/seq7.jpg,hou02614c00153,seq7.jpg,(seq. 7),I. Manuscripts,A. Mathematics,text
../../data/raw/Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00153/seq8.jpg,hou02614c00153,seq8.jpg,(seq. 8),I. Manuscripts,A. Mathematics,text
