Path,ID,Filename,Label,Category Level 1,Category Level 2,Predicted_Label
../../data/raw/Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00086/seq2.jpg,hou02614c00086,seq2.jpg,(seq. 2),I. Manuscripts,A. Mathematics,diagram_mixed
../../data/raw/Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00153/seq2.jpg,hou02614c00153,seq2.jpg,(seq. 2),I. Manuscripts,A. Mathematics,diagram_mixed
../../data/raw/Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00153/seq6.jpg,hou02614c00153,seq6.jpg,(seq. 6),I. Manuscripts,A. Mathematics,diagram_mixed
../../data/raw/Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00153/seq38.jpg,hou02614c00153,seq38.jpg,(seq. 38),I. Manuscripts,A. Mathematics,diagram_mixed
../../data/raw/Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00153/seq45.jpg,hou02614c00153,seq45.jpg,(seq. 45),I. Manuscripts,A. Mathematics,diagram_mixed
../../data/raw/Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00153/seq47.jpg,hou02614c00153,seq47.jpg,(seq. 47),I. Manuscripts,A. Mathematics,diagram_mixed
../../data/raw/Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00171/seq1.jpg,hou02614c00171,seq1.jpg,[p. 1] (seq. 1),I. Manuscripts,A. Mathematics,diagram_mixed
../../data/raw/Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00171/seq2.jpg,hou02614c00171,seq2.jpg,[pp. 2-3] (seq. 2),I. Manuscripts,A. Mathematics,diagram_mixed
../../data/raw/Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00171/seq3.jpg,hou02614c00171,seq3.jpg,[pp. 4-5] (seq. 3),I. Manuscripts,A. Mathematics,diagram_mixed
../../data/raw/Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00171/seq4.jpg,hou02614c00171,seq4.jpg,[pp. 6-7] (seq. 4),I. Manuscripts,A. Mathematics,diagram_mixed
../../data/raw/Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00171/seq5.jpg,hou02614c00171,seq5.jpg,[pp. 8-9] (seq. 5),I. Manuscripts,A. Mathematics,diagram_mixed
../../data/raw/Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00171/seq6.jpg,hou02614c00171,seq6.jpg,[pp. 10-11] (seq. 6),I. Manuscripts,A. Mathematics,diagram_mixed
../../data/raw/Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00171/seq7.jpg,hou02614c00171,seq7.jpg,[pp. 12-13] (seq. 7),I. Manuscripts,A. Mathematics,diagram_mixed
../../data/raw/Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00171/seq8.jpg,hou02614c00171,seq8.jpg,[pp. 14-15] (seq. 8),I. Manuscripts,A. Mathematics,diagram_mixed
../../data/raw/Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00171/seq9.jpg,hou02614c00171,seq9.jpg,[pp. 16-17] (seq. 9),I. Manuscripts,A. Mathematics,diagram_mixed
../../data/raw/Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00171/seq10.jpg,hou02614c00171,seq10.jpg,[pp. 18-19] (seq. 10),I. Manuscripts,A. Mathematics,diagram_mixed
../../data/raw/Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00171/seq11.jpg,hou02614c00171,seq11.jpg,[pp. 20-21] (seq. 11),I. Manuscripts,A. Mathematics,diagram_mixed
../../data/raw/Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00171/seq12.jpg,hou02614c00171,seq12.jpg,[pp. 22-23] (seq. 12),I. Manuscripts,A. Mathematics,diagram_mixed
../../data/raw/Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00285/seq8.jpg,hou02614c00285,seq8.jpg,(seq. 8),I. Manuscripts,A. Mathematics,diagram_mixed
../../data/raw/Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00285/seq10.jpg,hou02614c00285,seq10.jpg,(seq. 10),I. Manuscripts,A. Mathematics,diagram_mixed
../../data/raw/Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00285/seq23.jpg,hou02614c00285,seq23.jpg,(seq. 23),I. Manuscripts,A. Mathematics,diagram_mixed
../../data/raw/Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00285/seq25.jpg,hou02614c00285,seq25.jpg,(seq. 25),I. Manuscripts,A. Mathematics,diagram_mixed
../../data/raw/Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00285/seq27.jpg,hou02614c00285,seq27.jpg,(seq. 27),I. Manuscripts,A. Mathematics,diagram_mixed
../../data/raw/Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00285/seq28.jpg,hou02614c00285,seq28.jpg,(seq. 28),I. Manuscripts,A. Mathematics,diagram_mixed
../../data/raw/Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00285/seq29.jpg,hou02614c00285,seq29.jpg,(seq. 29),I. Manuscripts,A. Mathematics,diagram_mixed
../../data/raw/Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00285/seq30.jpg,hou02614c00285,seq30.jpg,(seq. 30),I. Manuscripts,A. Mathematics,diagram_mixed
../../data/raw/Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00285/seq31.jpg,hou02614c00285,seq31.jpg,(seq. 31),I. Manuscripts,A. Mathematics,diagram_mixed
../../data/raw/Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00285/seq33.jpg,hou02614c00285,seq33.jpg,(seq. 33),I. Manuscripts,A. Mathematics,diagram_mixed
../../data/raw/Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00285/seq35.jpg,hou02614c00285,seq35.jpg,(seq. 35),I. Manuscripts,A. Mathematics,diagram_mixed
../../data/raw/Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00285/seq36.jpg,hou02614c00285,seq36.jpg,(seq. 36),I. Manuscripts,A. Mathematics,diagram_mixed
../../data/raw/Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00285/seq37.jpg,hou02614c00285,seq37.jpg,(seq. 37),I. Manuscripts,A. Mathematics,diagram_mixed
../../data/raw/Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00285/seq41.jpg,hou02614c00285,seq41.jpg,(seq. 41),I. Manuscripts,A. Mathematics,diagram_mixed
../../data/raw/Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00285/seq45.jpg,hou02614c00285,seq45.jpg,(seq. 45),I. Manuscripts,A. Mathematics,diagram_mixed
../../data/raw/Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00285/seq46.jpg,hou02614c00285,seq46.jpg,(seq. 46),I. Manuscripts,A. Mathematics,diagram_mixed
../../data/raw/Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00285/seq51.jpg,hou02614c00285,seq51.jpg,(seq. 51),I. Manuscripts,A. Mathematics,diagram_mixed
../../data/raw/Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00285/seq58.jpg,hou02614c00285,seq58.jpg,(seq. 58),I. Manuscripts,A. Mathematics,diagram_mixed
