Item,Category,Manifest ID,Canvas Label,Image Filename,Prediction
"Peirce, Charles S. (Charles Sanders), 1839-1914. Index to Jordan's Susbtitutions : autograph manuscript, undated.  MS Am 1632, (83). Houghton Library, Harvard University, Cambridge, Mass.",A. Mathematics,491936037,(seq. 1),seq1.jpg,text
"Peirce, Charles S. (Charles Sanders), 1839-1914. Index to Jordan's Susbtitutions : autograph manuscript, undated.  MS Am 1632, (83). Houghton Library, Harvard University, Cambridge, Mass.",A. Mathematics,491936037,(seq. 2),seq2.jpg,diagram
"Peirce, Charles S. (Charles Sanders), 1839-1914. Index to Jordan's Susbtitutions : autograph manuscript, undated.  MS Am 1632, (83). Houghton Library, Harvard University, Cambridge, Mass.",A. Mathematics,491936037,(seq. 3),seq3.jpg,text
"Peirce, Charles S. (Charles Sanders), 1839-1914. Index to Jordan's Susbtitutions : autograph manuscript, undated.  MS Am 1632, (83). Houghton Library, Harvard University, Cambridge, Mass.",A. Mathematics,491936037,(seq. 4),seq4.jpg,text
"Peirce, Charles S. (Charles Sanders), 1839-1914. An Attempt to state systematically the Doctrine of the Census in Geometrical Topics or Topical Geometry, more commonly called ""Topologie"" in German Books : autograph manuscript, undated. Peirce, Charles S. (Charles Sanders), 1839-1914. Charles S. Peirce papers, 1787-1951. MS Am 1632 (145). Houghton Library, Harvard University, Cambridge, Mass.",A. Mathematics,501068156,(seq. 1),seq1.jpg,cover
"Peirce, Charles S. (Charles Sanders), 1839-1914. An Attempt to state systematically the Doctrine of the Census in Geometrical Topics or Topical Geometry, more commonly called ""Topologie"" in German Books : autograph manuscript, undated. Peirce, Charles S. (Charles Sanders), 1839-1914. Charles S. Peirce papers, 1787-1951. MS Am 1632 (145). Houghton Library, Harvard University, Cambridge, Mass.",A. Mathematics,501068156,(seq. 2),seq2.jpg,blank
"Peirce, Charles S. (Charles Sanders), 1839-1914. An Attempt to state systematically the Doctrine of the Census in Geometrical Topics or Topical Geometry, more commonly called ""Topologie"" in German Books : autograph manuscript, undated. Peirce, Charles S. (Charles Sanders), 1839-1914. Charles S. Peirce papers, 1787-1951. MS Am 1632 (145). Houghton Library, Harvard University, Cambridge, Mass.",A. Mathematics,501068156,(seq. 3),seq3.jpg,blank
"Peirce, Charles S. (Charles Sanders), 1839-1914. An Attempt to state systematically the Doctrine of the Census in Geometrical Topics or Topical Geometry, more commonly called ""Topologie"" in German Books : autograph manuscript, undated. Peirce, Charles S. (Charles Sanders), 1839-1914. Charles S. Peirce papers, 1787-1951. MS Am 1632 (145). Houghton Library, Harvard University, Cambridge, Mass.",A. Mathematics,501068156,(seq. 4),seq4.jpg,blank
"Peirce, Charles S. (Charles Sanders), 1839-1914. An Attempt to state systematically the Doctrine of the Census in Geometrical Topics or Topical Geometry, more commonly called ""Topologie"" in German Books : autograph manuscript, undated. Peirce, Charles S. (Charles Sanders), 1839-1914. Charles S. Peirce papers, 1787-1951. MS Am 1632 (145). Houghton Library, Harvard University, Cambridge, Mass.",A. Mathematics,501068156,(seq. 5),seq5.jpg,text
"Peirce, Charles S. (Charles Sanders), 1839-1914. An Attempt to state systematically the Doctrine of the Census in Geometrical Topics or Topical Geometry, more commonly called ""Topologie"" in German Books : autograph manuscript, undated. Peirce, Charles S. (Charles Sanders), 1839-1914. Charles S. Peirce papers, 1787-1951. MS Am 1632 (145). Houghton Library, Harvard University, Cambridge, Mass.",A. Mathematics,501068156,(seq. 6),seq6.jpg,blank
"Peirce, Charles S. (Charles Sanders), 1839-1914. An Attempt to state systematically the Doctrine of the Census in Geometrical Topics or Topical Geometry, more commonly called ""Topologie"" in German Books : autograph manuscript, undated. Peirce, Charles S. (Charles Sanders), 1839-1914. Charles S. Peirce papers, 1787-1951. MS Am 1632 (145). Houghton Library, Harvard University, Cambridge, Mass.",A. Mathematics,501068156,(seq. 7),seq7.jpg,text
"Peirce, Charles S. (Charles Sanders), 1839-1914. An Attempt to state systematically the Doctrine of the Census in Geometrical Topics or Topical Geometry, more commonly called ""Topologie"" in German Books : autograph manuscript, undated. Peirce, Charles S. (Charles Sanders), 1839-1914. Charles S. Peirce papers, 1787-1951. MS Am 1632 (145). Houghton Library, Harvard University, Cambridge, Mass.",A. Mathematics,501068156,(seq. 8),seq8.jpg,blank
"Peirce, Charles S. (Charles Sanders), 1839-1914. An Attempt to state systematically the Doctrine of the Census in Geometrical Topics or Topical Geometry, more commonly called ""Topologie"" in German Books : autograph manuscript, undated. Peirce, Charles S. (Charles Sanders), 1839-1914. Charles S. Peirce papers, 1787-1951. MS Am 1632 (145). Houghton Library, Harvard University, Cambridge, Mass.",A. Mathematics,501068156,(seq. 9),seq9.jpg,text
"Peirce, Charles S. (Charles Sanders), 1839-1914. An Attempt to state systematically the Doctrine of the Census in Geometrical Topics or Topical Geometry, more commonly called ""Topologie"" in German Books : autograph manuscript, undated. Peirce, Charles S. (Charles Sanders), 1839-1914. Charles S. Peirce papers, 1787-1951. MS Am 1632 (145). Houghton Library, Harvard University, Cambridge, Mass.",A. Mathematics,501068156,(seq. 10),seq10.jpg,blank
"Peirce, Charles S. (Charles Sanders), 1839-1914. An Attempt to state systematically the Doctrine of the Census in Geometrical Topics or Topical Geometry, more commonly called ""Topologie"" in German Books : autograph manuscript, undated. Peirce, Charles S. (Charles Sanders), 1839-1914. Charles S. Peirce papers, 1787-1951. MS Am 1632 (145). Houghton Library, Harvard University, Cambridge, Mass.",A. Mathematics,501068156,(seq. 11),seq11.jpg,text
"Peirce, Charles S. (Charles Sanders), 1839-1914. An Attempt to state systematically the Doctrine of the Census in Geometrical Topics or Topical Geometry, more commonly called ""Topologie"" in German Books : autograph manuscript, undated. Peirce, Charles S. (Charles Sanders), 1839-1914. Charles S. Peirce papers, 1787-1951. MS Am 1632 (145). Houghton Library, Harvard University, Cambridge, Mass.",A. Mathematics,501068156,(seq. 12),seq12.jpg,blank
"Peirce, Charles S. (Charles Sanders), 1839-1914. An Attempt to state systematically the Doctrine of the Census in Geometrical Topics or Topical Geometry, more commonly called ""Topologie"" in German Books : autograph manuscript, undated. Peirce, Charles S. (Charles Sanders), 1839-1914. Charles S. Peirce papers, 1787-1951. MS Am 1632 (145). Houghton Library, Harvard University, Cambridge, Mass.",A. Mathematics,501068156,(seq. 13),seq13.jpg,text
